13/01/2016 13:54:49 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 64:27:37:EE:A0:93, Device : JEYATHARSINI, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 26885, Destination Address : 74.125.200.103, Destination Port : 443, Protocol : 6, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
13/01/2016 13:54:50 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 64:27:37:EE:A0:93, Device : JEYATHARSINI, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 135, Destination Address : ff02::1:ff48, Destination Port : 0, Protocol : 58, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
13/01/2016 13:54:50 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 64:27:37:EE:A0:93, Device : JEYATHARSINI, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 135, Destination Address : fe80::545d:e11:6748, Destination Port : 0, Protocol : 58, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
13/01/2016 13:54:50 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 64:27:37:EE:A0:93, Device : JEYATHARSINI, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 136, Destination Address : fe80::545d:e11:6748, Destination Port : 0, Protocol : 58, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
13/01/2016 13:54:55 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 64:27:37:EE:A0:93, Device : JEYATHARSINI, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 135, Destination Address : fe80::545d:e11:6748, Destination Port : 0, Protocol : 58, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
13/01/2016 13:54:59 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 64:27:37:EE:A0:93, Device : JEYATHARSINI, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 26883, Destination Address : 31.13.79.246, Destination Port : 443, Protocol : 6, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
13/01/2016 13:54:59 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 64:27:37:EE:A0:93, Device : JEYATHARSINI, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 26883, Destination Address : 31.13.79.246, Destination Port : 443, Protocol : 6, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
13/01/2016 13:55:00 , Message : A privileged service was called., Level : Information, MAC : 64:27:37:EE:A0:93, Device : JEYATHARSINI, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 4673, S_Account Name : LOCAL SERVICE, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
13/01/2016 13:55:00 , Message : A privileged service was called., Level : Information, MAC : 64:27:37:EE:A0:93, Device : JEYATHARSINI, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 4673, S_Account Name : LOCAL SERVICE, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
13/01/2016 13:55:03 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 64:27:37:EE:A0:93, Device : JEYATHARSINI, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 137, Destination Address : 192.168.1.4, Destination Port : 137, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
