2016/01/20 14:34:01 Process Name : svchost, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.25623362708113256, RAM usage : 9716.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 816, Type : Windows
2016/01/20 14:34:01 Process Name : svchost#1, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.06399026022271354, RAM usage : 8232.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 896, Type : Windows
2016/01/20 14:34:01 Process Name : svchost#10, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 4440.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2704, Type : Windows
2016/01/20 14:34:01 Process Name : svchost#11, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2568, Type : Windows
2016/01/20 14:34:01 Process Name : svchost#12, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4752, Type : Windows
2016/01/20 14:34:01 Process Name : svchost#2, MAC ID : 00:E0:4C:68:14:38, CPU usage : 3.4288157221879034, RAM usage : 40864.0, Sent Data : 7994046.330875725, Received Data : 25325.91763650735, Process ID : 408, Type : Windows
2016/01/20 14:34:01 Process Name : svchost#3, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.7692343473360427, RAM usage : 94728.0, Sent Data : 225678.24209381398, Received Data : 42895.797599382786, Process ID : 400, Type : Windows
2016/01/20 14:34:01 Process Name : svchost#4, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.012814001184498961, RAM usage : 6976.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 912, Type : Windows
2016/01/20 14:34:01 Process Name : svchost#5, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.3710020836032263, RAM usage : 38404.0, Sent Data : 570446.5724474392, Received Data : 11271.058526409892, Process ID : 1036, Type : Windows
2016/01/20 14:34:01 Process Name : svchost#6, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 4332.0, Sent Data : 30.77060268705485, Received Data : 0.0, Process ID : 1140, Type : Windows
2016/01/20 14:34:01 Process Name : svchost#7, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.08951178666853332, RAM usage : 18744.0, Sent Data : 93.15042916526464, Received Data : 122.45849849376974, Process ID : 1408, Type : Windows
2016/01/20 14:34:01 Process Name : svchost#8, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 6372.0, Sent Data : 0.0, Received Data : 536.6671179966083, Process ID : 1644, Type : Windows
2016/01/20 14:34:01 Process Name : svchost#9, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.038322385003824976, RAM usage : 9636.0, Sent Data : 1100.9773878204658, Received Data : 0.0, Process ID : 1916, Type : Windows
2016/01/20 14:34:01 Process Name : taskeng, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 4444.0, Sent Data : 242.71271007318686, Received Data : 0.0, Process ID : 1584, Type : Windows
2016/01/20 14:34:01 Process Name : taskhost, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 4096.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4040, Type : Windows
2016/01/20 14:34:01 Process Name : taskmgr, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 3416.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2548, Type : Windows
2016/01/20 14:34:01 Process Name : wininit, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 3616.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 580, Type : Windows
2016/01/20 14:34:01 Process Name : winlogon, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.012820572455600712, RAM usage : 6592.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 672, Type : Windows
2016/01/20 14:34:01 Process Name : wmpnetwk, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4460, Type : Windows
2016/01/20 14:35:33 Process Name : FCUpdateService, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 3712.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1980, Type : Windows
2016/01/20 14:35:33 Process Name : GWX, MAC ID : 00:E0:4C:68:14:38, CPU usage : 8.468116482988057E-4, RAM usage : 6472.0, Sent Data : 0.25187585476171204, Received Data : 0.3474152132045336, Process ID : 3492, Type : Windows
2016/01/20 14:35:33 Process Name : IpOverUsbSvc, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 17104.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1428, Type : Windows
