0 Process Name : svchost#7, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 91176.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1036, Type : Windows
0 Process Name : svchost#8, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 6776.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1440, Type : Windows
0 Process Name : svchost#9, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 7176.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1932, Type : Windows
0 Process Name : taskhostex, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 12776.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 6992, Type : Windows
0 Process Name : vcpkgsrv, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 298184.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5360, Type : Windows
0 Process Name : vcpkgsrv#1, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 164296.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1060, Type : Windows
0 Process Name : vcpkgsrv#2, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 279376.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3684, Type : Windows
0 Process Name : wininit, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 3192.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 468, Type : Windows
0 Process Name : winlogon, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2408.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 924, Type : Windows
0 Process Name : xdm, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 48104.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4968, Type : Windows
0 Process Name : AppleMobileDeviceSer, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 8388.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1464, Type : Windows
0 Process Name : Babylon, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 40700.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4208, Type : Windows
0 Process Name : FAHWindow64, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1156.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5792, Type : Windows
0 Process Name : HWDeviceService64, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2052.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1752, Type : Windows
0 Process Name : IDMan, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 5364.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4156, Type : Windows
0 Process Name : IEMonitor, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1580.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5628, Type : Windows
0 Process Name : MSBuild, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 29400.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3120, Type : Windows
0 Process Name : NhmWriter, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 25192.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4456, Type : Windows
0 Process Name : PresentationFontCach, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 29968.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5984, Type : Windows
0 Process Name : Project, MAC ID : 64:27:37:EE:A0:93, CPU usage : 24.998695452692683, RAM usage : 10520.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4828, Type : Windows
0 Process Name : RsMgrSvc, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 3116.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 776, Type : Windows
0 Process Name : SearchIndexer, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 50232.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7100, Type : Windows
