2016/01/01 17:46:24 Process Name : explorer, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 100256.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2676, Type : Windows
2016/01/01 17:46:24 Process Name : hsswd, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 3436.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1920, Type : Windows
2016/01/01 17:46:24 Process Name : iexplore, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5780, Type : Windows
2016/01/01 17:46:24 Process Name : iexplore#1, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 712, Type : Windows
2016/01/01 17:46:24 Process Name : iexplore#2, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 712, Type : Windows
2016/01/01 17:46:24 Process Name : igfxpers, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 1452.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5268, Type : Windows
2016/01/01 17:46:24 Process Name : igfxsrvc, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 2364.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5412, Type : Windows
2016/01/01 17:46:24 Process Name : igfxtray, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 1420.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1988, Type : Windows
2016/01/01 17:46:24 Process Name : lsass, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 5700.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 644, Type : Windows
2016/01/01 17:46:24 Process Name : mDNSResponder, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 2044.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1484, Type : Windows
2016/01/01 17:46:24 Process Name : mspdbsrv, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 2724.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3020, Type : Windows
2016/01/01 17:46:24 Process Name : openvpn, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 1528.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 6744, Type : Windows
2016/01/01 17:46:24 Process Name : spoolsv, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 3544.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1288, Type : Windows
2016/01/01 17:46:24 Process Name : sqlwriter, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 1436.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2256, Type : Windows
2016/01/01 17:46:24 Process Name : ssh-agent, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 3964.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3948, Type : Windows
2016/01/01 17:46:24 Process Name : svchost, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 5264.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 716, Type : Windows
2016/01/01 17:46:24 Process Name : svchost#1, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 5776.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 760, Type : Windows
2016/01/01 17:46:24 Process Name : svchost#2, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 5.839793442612739, RAM usage : 32300.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 924, Type : Windows
2016/01/01 17:46:24 Process Name : svchost#3, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 40000.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 948, Type : Windows
