2016/01/20 14:16:02 Process Name : taskmgr, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 3236.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : wininit, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 1808.0, Sent Data : 0.0, Received Data : 0.0, Process ID : T, Type : Windows
2016/01/20 14:16:02 Process Name : winlogon, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 3372.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : wpsupdatesvr, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 1288.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:59 Process Name : FCUpdateService, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 1300.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2032, Type : Windows
2016/01/20 14:24:59 Process Name : GWX, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 6608.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2532, Type : Windows
2016/01/20 14:24:59 Process Name : HeciServer, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 3968.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 656, Type : Windows
2016/01/20 14:24:59 Process Name : IpOverUsbSvc, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1584, Type : Windows
2016/01/20 14:24:59 Process Name : Jhi_service, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4536, Type : Windows
2016/01/20 14:24:59 Process Name : MsMpEng, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 976, Type : Windows
2016/01/20 14:24:59 Process Name : NisSrv, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 628, Type : Windows
