2016/01/20 14:24:46 Process Name : winlogon, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 3124.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:46 Process Name : wmpnetwk, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 6624.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:34:10 Process Name : AdobeARM, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 10304.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2744, Type : Windows
2016/01/20 14:34:10 Process Name : GWX, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 6456.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4468, Type : Windows
2016/01/20 14:34:10 Process Name : IpOverUsbSvc, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 17176.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1680, Type : Windows
2016/01/20 14:34:10 Process Name : Jhi_service, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 2792.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3976, Type : Windows
2016/01/20 14:34:10 Process Name : MsMpEng, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.29471073882174786, RAM usage : 234848.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 980, Type : Windows
2016/01/20 14:34:10 Process Name : NisSrv, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 26472.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3256, Type : Windows
2016/01/20 14:34:10 Process Name : PresentationFontCach, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 54816.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4612, Type : Windows
2016/01/20 14:34:10 Process Name : Project, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.5892495043129111, RAM usage : 78272.0, Sent Data : 3.0177625670440062, Received Data : 1917.0262395750317, Process ID : 4336, Type : Windows
2016/01/20 14:34:10 Process Name : RAVCpl64, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 27928.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2172, Type : Windows
2016/01/20 14:34:10 Process Name : SearchFilterHost, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 6520.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4692, Type : Windows
2016/01/20 14:34:10 Process Name : SearchIndexer, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.07688437141177562, RAM usage : 80096.0, Sent Data : 0.0, Received Data : 85.42696681136015, Process ID : 4220, Type : Windows
2016/01/20 14:34:10 Process Name : SearchProtocolHost, MAC ID : 00:E0:4C:68:04:31, CPU usage : 10.000051281985536, RAM usage : 6108.0, Sent Data : 158.11442330495058, Received Data : 0.0, Process ID : 1708, Type : Windows
2016/01/20 14:34:10 Process Name : SinhalaTamil IME, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 4664.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4400, Type : Windows
2016/01/20 14:34:10 Process Name : SkypeC2CPNRSvc, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 3864.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1940, Type : Windows
2016/01/20 14:34:10 Process Name : TSVNCache, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 6880.0, Sent Data : 86.8764435723723, Received Data : 2.6326599671856465, Process ID : 2856, Type : Windows
2016/01/20 14:34:10 Process Name : beasvc, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 188152.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2208, Type : Windows
2016/01/20 14:34:10 Process Name : csrss, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 4928.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 528, Type : Windows
2016/01/20 14:34:10 Process Name : csrss#1, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 6624.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 620, Type : Windows
2016/01/20 14:34:10 Process Name : cygrunsrv, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 12456.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2728, Type : Windows
2016/01/20 14:34:10 Process Name : dwm, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.012873386382524112, RAM usage : 60728.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3872, Type : Windows
2016/01/20 14:34:10 Process Name : explorer, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.10285567913174212, RAM usage : 82080.0, Sent Data : 45.429050195056064, Received Data : 10.532341042745157, Process ID : 2084, Type : Windows
2016/01/20 14:34:10 Process Name : httpd, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 18912.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1716, Type : Windows
2016/01/20 14:34:10 Process Name : httpd#1, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 22168.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4772, Type : Windows
2016/01/20 14:34:10 Process Name : igfxCUIService, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 5696.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1220, Type : Windows
2016/01/20 14:34:10 Process Name : igfxEM, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 8296.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4132, Type : Windows
2016/01/20 14:34:10 Process Name : igfxHK, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 5776.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 396, Type : Windows
2016/01/20 14:34:10 Process Name : igfxTray, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 7560.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2596, Type : Windows
2016/01/20 14:34:10 Process Name : iusb3mon, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 3600.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4952, Type : Windows
2016/01/20 14:34:10 Process Name : jucheck, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 13336.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1480, Type : Windows
2016/01/20 14:34:10 Process Name : jusched, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 5728.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1228, Type : Windows
2016/01/20 14:34:10 Process Name : lsass, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.025601757660993773, RAM usage : 9080.0, Sent Data : 121.49395119211192, Received Data : 235.1175511620121, Process ID : 720, Type : Windows
