2016/01/20 13:50:32 Process Name : Jhi_service, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 2808.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4028, Type : Windows
2016/01/20 13:50:32 Process Name : LogonUI, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2864, Type : Windows
2016/01/20 13:50:32 Process Name : MsMpEng, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.5024061882511462, RAM usage : 231840.0, Sent Data : 0.0, Received Data : 13089.321267042418, Process ID : 996, Type : Windows
2016/01/20 13:50:32 Process Name : NisSrv, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.06244028585555996, RAM usage : 26048.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2276, Type : Windows
2016/01/20 13:50:32 Process Name : PresentationFontCach, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 55352.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3064, Type : Windows
2016/01/20 13:50:32 Process Name : Project, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.366736471675807, RAM usage : 86232.0, Sent Data : 139.70270734090647, Received Data : 2621.113719081941, Process ID : 3616, Type : Windows
2016/01/20 13:50:32 Process Name : SearchFilterHost, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3608, Type : Windows
2016/01/20 13:50:32 Process Name : SearchIndexer, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.11435407713881414, RAM usage : 83076.0, Sent Data : 44.335075115464875, Received Data : 19280.16584287536, Process ID : 4092, Type : Windows
2016/01/20 13:50:32 Process Name : SkypeC2CAutoUpdateSv, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 5376.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1784, Type : Windows
2016/01/20 13:50:32 Process Name : TrustedInstaller, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 9344.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3536, Type : Windows
2016/01/20 13:50:32 Process Name : beasvc, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 229760.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 988, Type : Windows
2016/01/20 13:50:32 Process Name : conhost, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 2392.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2468, Type : Windows
2016/01/20 13:50:32 Process Name : conhost#2, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.012526567555300811, RAM usage : 2904.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3212, Type : Windows
2016/01/20 13:50:32 Process Name : csrss, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 4728.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 532, Type : Windows
2016/01/20 13:50:32 Process Name : csrss#1, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.06264491120722228, RAM usage : 6488.0, Sent Data : 757.4128358823118, Received Data : 0.0, Process ID : 608, Type : Windows
2016/01/20 13:50:32 Process Name : cygrunsrv, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 12472.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2748, Type : Windows
2016/01/20 13:50:32 Process Name : httpd, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 18992.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 384, Type : Windows
2016/01/20 13:50:32 Process Name : httpd#1, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 22272.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3648, Type : Windows
2016/01/20 13:50:32 Process Name : igfxCUIService, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 4896.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1264, Type : Windows
2016/01/20 13:50:32 Process Name : lsass, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.02531477324754157, RAM usage : 9008.0, Sent Data : 16.1845511276071, Received Data : 0.0, Process ID : 712, Type : Windows
2016/01/20 13:50:32 Process Name : lsm, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 6184.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 724, Type : Windows
2016/01/20 13:50:32 Process Name : mysqld, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 1173368.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5036, Type : Windows
2016/01/20 13:50:32 Process Name : oracle, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.03756281775151011, RAM usage : 1545940.0, Sent Data : 61162.87401282501, Received Data : 10856.8376304807, Process ID : 928, Type : Windows
2016/01/20 13:50:32 Process Name : services, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 13120.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 668, Type : Windows
2016/01/20 13:50:32 Process Name : smss, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 1136.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 356, Type : Windows
2016/01/20 13:50:32 Process Name : spoolsv, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 13088.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1580, Type : Windows
2016/01/20 13:50:32 Process Name : sqlservr, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 1.2747377428158817, RAM usage : 188448.0, Sent Data : 0.0, Received Data : 180.7788104835233, Process ID : 2460, Type : Windows
2016/01/20 13:50:32 Process Name : sqlwriter, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 4376.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2832, Type : Windows
2016/01/20 13:50:32 Process Name : sshd, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 15280.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3180, Type : Windows
2016/01/20 13:50:32 Process Name : svchost, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 9624.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 820, Type : Windows
2016/01/20 13:50:32 Process Name : svchost#1, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 9064.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 892, Type : Windows
2016/01/20 13:50:32 Process Name : svchost#10, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 3752.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4128, Type : Windows
2016/01/20 13:50:32 Process Name : svchost#11, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.012501674492397603, RAM usage : 5252.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4720, Type : Windows
2016/01/20 13:50:32 Process Name : svchost#2, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.012499270560065778, RAM usage : 51388.0, Sent Data : 0.0, Received Data : 5402.8230204553665, Process ID : 528, Type : Windows
2016/01/20 13:50:32 Process Name : svchost#3, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.06341413071825347, RAM usage : 245088.0, Sent Data : 0.0, Received Data : 566.9084396921767, Process ID : 516, Type : Windows
2016/01/20 13:50:32 Process Name : svchost#4, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 14920.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 836, Type : Windows
2016/01/20 13:50:32 Process Name : svchost#5, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 62704.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1028, Type : Windows
2016/01/20 13:50:32 Process Name : svchost#6, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 5744.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1140, Type : Windows
2016/01/20 13:50:32 Process Name : svchost#7, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 30984.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1332, Type : Windows
2016/01/20 13:50:32 Process Name : svchost#8, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 12160.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1608, Type : Windows
2016/01/20 13:50:32 Process Name : svchost#9, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 10112.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1864, Type : Windows
2016/01/20 13:50:32 Process Name : wininit, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 4016.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 584, Type : Windows
2016/01/20 13:50:32 Process Name : winlogon, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 6224.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 684, Type : Windows
2016/01/20 13:52:03 Process Name : GWXDetector, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 9184.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3968, Type : Windows
2016/01/20 13:52:03 Process Name : GWXDetector#1, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 6656.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2844, Type : Windows
2016/01/20 13:52:03 Process Name : IpOverUsbSvc, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 16912.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1800, Type : Windows
2016/01/20 13:52:03 Process Name : Jhi_service, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 2808.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4028, Type : Windows
2016/01/20 13:52:03 Process Name : LogonUI, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2864, Type : Windows
2016/01/20 13:52:03 Process Name : MsMpEng, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.5024061882511462, RAM usage : 231840.0, Sent Data : 0.0, Received Data : 13089.321267042418, Process ID : 996, Type : Windows
2016/01/20 13:52:03 Process Name : NisSrv, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.06244028585555996, RAM usage : 26048.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2276, Type : Windows
2016/01/20 13:52:03 Process Name : PresentationFontCach, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 55352.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3064, Type : Windows
2016/01/20 13:52:03 Process Name : Project, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.366736471675807, RAM usage : 86232.0, Sent Data : 139.70270734090647, Received Data : 2621.113719081941, Process ID : 3616, Type : Windows
2016/01/20 13:52:03 Process Name : SearchFilterHost, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3608, Type : Windows
2016/01/20 13:52:03 Process Name : SearchIndexer, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.11435407713881414, RAM usage : 83076.0, Sent Data : 44.335075115464875, Received Data : 19280.16584287536, Process ID : 4092, Type : Windows
